"","X","pubDate","title","author","rating","ratingCount","reviewCount","synopsis","pageCount","genres","Fiction","Fantasy","Romance","Young Adult","Mystery","Historical","Contemporary","Nonfiction","Thriller","Science Fiction"
"1",1,1989-01-01,"The Pillars of the Earth","Ken Follett",4.31,574613,28929,"  Ken Follett is known worldwide as the master of split-second suspense, but his most beloved and bestselling book tells the magnificent tale of a twelfth-century monk driven to do the seemingly impossible: build the greatest Gothic cathedral the world has ever known.Everything readers expect from Follett is here: intrigue, fast-paced action, and passionate romance. But what makes The Pillars of the Earth extraordinary is the time the twelfth century; the place feudal England; and the subject the building of a glorious cathedral. Follett has re-created the crude, flamboyant England of the Middle Ages in every detail. The vast forests, the walled towns, the castles, and the monasteries become a familiar landscape. Against this richly imagined and intricately interwoven backdrop, filled with the ravages of war and the rhythms of daily life, the master storyteller draws the reader irresistibly into the intertwined lives of his characters into their dreams, their labors, and their loves: Tom, the master builder; Aliena, the ravishingly beautiful noblewoman; Philip, the prior of Kingsbridge; Jack, the artist in stone; and Ellen, the woman of the forest who casts a terrifying curse. From humble stonemason to imperious monarch, each character is brought vividly to life.The building of the cathedral, with the almost eerie artistry of the unschooled stonemasons, is the center of the drama. Around the site of the construction, Follett weaves a story of betrayal, revenge, and love, which begins with the public hanging of an innocent man and ends with the humiliation of a king.For the Movie tie-in edition with the same ISBN go to this Alternate Cover Edition",973,"Historical,Historical Fiction,Fiction,Historical",1,0,0,0,0,1,0,0,0,0
"2",2,1989-01-01,"The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change","Stephen R. Covey",4.08,412534,8182,"  When Stephen Covey first released The Seven Habits of Highly Effective People, the book became an instant rage because people suddenly got up and took notice that their lives were headed off in the wrong direction; and more than that, they realized that there were so many simple things they could do in order to navigate their life correctly. This book was wonderful education for people, education in how to live life effectively and get closer to the ideal of being a ‘success’ in life.But not everyone understands Stephen Covey’s model fully well, or maybe there are some people who haven’t read it yet. This is definitely true because we still see so much failure all around us. Now, I am not saying that by using Covey’s model, or anyone else’s model for that matter, you can become a sure-shot success, but at least we should have seen many more successes around us already judging by the number of copies the book has sold! So, where is the shortcoming?There are two main problems here, and we are talking only about the people who have read the book already. The first problem is that most people are too lazy to implement the ideals of Stephen Covey in their lives. They consider his masterpiece of a book as a mere coffee-table book or a book that you use for light reading when you are traveling and then forget all about it. They do not realize that this book contains life-changing information. Or, they take the information and do not make the effort to actually utilize it so that it becomes knowledge for them.The second problem is that a lot of people have a myopic view of Covey’s ideals. These are people who are impressed by the book already. If you ask them what the seven habits are, they can rattle them off end to end, but then they miss the larger picture. They do not understand that Covey was trying to tell more than he wrote in words. There are hidden implications in this book, yes, and a lot of people have just failed to see through them.That is what we are trying to do. We are trying to show you how Covey’s book, or rather, his model, was a complete model in itself. There was nothing amiss about it. If you implement it, there should be no aspect of your life that should go untouched. The only thing is that you have to understand these ideals and try to implement them in your life.But, before we barge into that area, it is extremely important to understand what these ideals are. What was the model that was propounded by Stephen Covey in his mega-famous book? We shall begin by trying to understand his model first, and then interpret it in such a way that it pertains to every aspect of our life.",372,"Self Help,Nonfiction,Business,Self Help,Personal Development,Leadership,Psychology",0,0,0,0,0,0,0,1,0,0
"3",3,1989-01-01,"A Time to Kill","John Grisham",4.06,656154,4800,"  Before The Firm and The Pelican Brief made him a superstar, John Grisham wrote this riveting story of retribution and justice -- at last it's available in a Doubleday hardcover edition. In this searing courtroom drama, best-selling author John Grisham probes the savage depths of racial violence...as he delivers a compelling tale of uncertain justice in a small southern town...Clanton, Mississippi. The life of a ten-year-old girl is shattered by two drunken and remorseless young men. The mostly white town reacts with shock and horror at the inhuman crime. Until her black father acquires an assault rifle and takes matters into his hands.For ten days, as burning crosses and the crack of sniper fire spread through the streets of Clanton, the nation sits spellbound as young defense attorney Jake Brigance struggles to save his client's life...and then his own.",515,"Fiction,Mystery,Thriller,Mystery,Crime,Suspense",1,0,0,0,1,0,0,0,1,0
"4",4,1989-01-01,"The Joy Luck Club","Amy Tan",3.91,562243,7961,"  “The Joy Luck Club is one of my favorite books. From the moment I first started reading it, I knew it was going to be incredible. For me, it was one of those once-in-a-lifetime reading experiences that you cherish forever. It inspired me as a writer and still remains hugely inspirational.” —Kevin Kwan, author of Crazy Rich AsiansAmy Tan’s beloved, New York Times bestselling tale of mothers and daughtersFour mothers, four daughters, four families whose histories shift with the four winds depending on who's ""saying"" the stories. In 1949 four Chinese women, recent immigrants to San Francisco, begin meeting to eat dim sum, play mahjong, and talk. United in shared unspeakable loss and hope, they call themselves the Joy Luck Club. Rather than sink into tragedy, they choose to gather to raise their spirits and money. ""To despair was to wish back for something already lost. Or to prolong what was already unbearable."" Forty years later the stories and history continue.With wit and sensitivity, Amy Tan examines the sometimes painful, often tender, and always deep connection between mothers and daughters. As each woman reveals her secrets, trying to unravel the truth about her life, the strings become more tangled, more entwined. Mothers boast or despair over daughters, and daughters roll their eyes even as they feel the inextricable tightening of their matriarchal ties. Tan is an astute storyteller, enticing readers to immerse themselves into these lives of complexity and mystery.",288,"Fiction,Historical,Historical Fiction,Classics,Cultural,China,Contemporary",1,0,0,0,0,1,1,0,0,0
"5",5,1989-01-01,"Number the Stars","Lois Lowry",4.13,388891,12041,"  Ten-year-old Annemarie Johansen and her best friend Ellen Rosen often think of life before the war. It's now 1943 and their life in Copenhagen is filled with school, food shortages, and the Nazi soldiers marching through town. When the Jews of Denmark are ""relocated,"" Ellen moves in with the Johansens and pretends to be one of the family. Soon Annemarie is asked to go on a dangerous mission to save Ellen's life.",137,"Historical,Historical Fiction,Young Adult,Fiction,Classics,Childrens,Historical",1,0,0,1,0,1,0,0,0,0
"6",6,1989-01-01,"Like Water for Chocolate","Laura Esquivel",3.94,305266,7905,"  Earthy, magical, and utterly charming, this tale of family life in turn-of-the-century Mexico became a best-selling phenomenon with its winning blend of poignant romance and bittersweet wit.The number one bestseller in Mexico and America for almost two years, and subsequently a bestseller around the world, Like Water For Chocolate is a romantic, poignant tale, touched with moments of magic, graphic earthiness, bittersweet wit - and recipes. A sumptuous feast of a novel, it relates the bizarre history of the all-female De La Garza family. Tita, the youngest daughter of the house, has been forbidden to marry, condemned by Mexican tradition to look after her mother until she dies. But Tita falls in love with Pedro, and he is seduced by the magical food she cooks. In desperation, Pedro marries her sister Rosaura so that he can stay close to her, so that Tita and Pedro are forced to circle each other in unconsummated passion. Only a freakish chain of tragedies, bad luck and fate finally reunite them against all the odds.",224,"Fiction,Romance,Magical Realism,Historical,Historical Fiction,Classics,Fantasy,Food and Drink,Food",1,1,1,0,0,1,0,0,0,0
"7",7,1989-01-01,"A Prayer for Owen Meany","John Irving",4.23,269009,12695,"  Eleven-year-old Owen Meany, playing in a Little League baseball game in Gravesend, New Hampshire, hits a foul ball and kills his best friend's mother. Owen doesn't believe in accidents; he believes he is God's instrument. What happens to Owen after that 1953 foul is both extraordinary and terrifying. At moments a comic, self-deluded victim, but in the end the principal, tragic actor in a divine plan, Owen Meany is the most heartbreaking hero John Irving has yet created.(back cover)",637,"Fiction,Classics,Literature,Contemporary",1,0,0,0,0,0,1,0,0,0
"8",8,1989-01-01,"The Remains of the Day","Kazuo Ishiguro",4.12,166991,11491,"  Librarian's note: See alternate cover edition of ISBN 0571225381 here.In the summer of 1956, Stevens, a long-serving butler at Darlington Hall, decides to take a motoring trip through the West Country. The six-day excursion becomes a journey into the past of Stevens and England, a past that takes in fascism, two world wars, and an unrealised love between the butler and his housekeeper.",258,"Fiction,Historical,Historical Fiction,Classics,Literature,Literary Fiction,Historical",1,0,0,0,0,1,0,0,0,0
"9",9,1989-01-01,"Preludes & Nocturnes","Neil Gaiman",4.26,176314,5261,"  New York Times best-selling author Neil Gaiman's transcendent series SANDMAN is often hailed as the definitive Vertigo title and one of the finest achievements in graphic storytelling. Gaiman created an unforgettable tale of the forces that exist beyond life and death by weaving ancient mythology, folklore and fairy tales with his own distinct narrative vision.In PRELUDES & NOCTURNES, an occultist attempting to capture Death to bargain for eternal life traps her younger brother Dream instead. After his 70 year imprisonment and eventual escape, Dream, also known as Morpheus, goes on a quest for his lost objects of power. On his arduous journey Morpheus encounters Lucifer, John Constantine, and an all-powerful madman.This book also includes the story ""The Sound of Her Wings,"" which introduces us to the pragmatic and perky goth girl Death.Includes issues 1-8 of the original series.",233,"Sequential Art,Graphic Novels,Sequential Art,Comics,Fantasy,Fiction,Horror,Graphic Novels Comics",1,1,0,0,0,0,0,0,0,0
"10",10,1989-01-01,"Hyperion","Dan Simmons",4.23,156020,7025,"  On the world called Hyperion, beyond the law of the Hegemony of Man, there waits the creature called the Shrike. There are those who worship it. There are those who fear it. And there are those who have vowed to destroy it. In the Valley of the Time Tombs, where huge, brooding structures move backward through time, the Shrike waits for them all. On the eve of Armageddon, with the entire galaxy at war, seven pilgrims set forth on a final voyage to Hyperion seeking the answers to the unsolved riddles of their lives. Each carries a desperate hope—and a terrible secret. And one may hold the fate of humanity in his hands. A stunning tour de force filled with transcendent awe and wonder, Hyperion is a masterwork of science fiction that resonates with excitement and invention, the first volume in a remarkable new science fiction epic by the multiple-award-winning author of The Hollow Man.",482,"Science Fiction,Fiction,Fantasy",1,1,0,0,0,0,0,0,0,1
